symbol,name,exchange,category,price,crawled_date
VGL,CTCP Mạ kẽm công nghiệp Vingal - Vnsteel,HOSE,Nguyên vật liệu,20.5,2025-04-11
VGP,Công ty Cổ phần Cảng Rau quả,HNX,Công nghiệp,30.9,2025-04-11
VGR,Công ty Cổ phần Cảng Xanh VIP,HOSE,Công nghiệp,65.8,2025-04-11
VGS,Công ty Cổ phần Ống thép Việt Đức VG PIPE,HNX,Nguyên vật liệu,22.0,2025-04-11
VGT,Tập đoàn Dệt may Việt Nam,HOSE,Hàng tiêu dùng,10.1,2025-04-11
VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,HOSE,Bất động sản và Xây dựng,28.8,2025-04-11
VHC,Công ty Cổ phần Vĩnh Hoàn,HOSE,Nông nghiệp,49.0,2025-04-11
VHD,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị VINAHUD,HOSE,Bất động sản và Xây dựng,9.1,2025-04-11
VHE,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam,HNX,Y tế,3.3,2025-04-11
VHF,Công ty Cổ phần Xây dựng và Chế biến lương thực Vĩnh Hà,HOSE,Hàng tiêu dùng,19.5,2025-04-11
VHG,Công ty Cổ phần Đầu tư Phát triển Việt Trung Nam,HOSE,Nông nghiệp,1.6,2025-04-11
VHH,Công ty cổ phần Đầu tư Kinh doanh nhà Thành Đạt,HOSE,Bất động sản và Xây dựng,3.7,2025-04-11
VHL,Công ty Cổ phần Viglacera Hạ Long,HNX,Bất động sản và Xây dựng,11.0,2025-04-11
VHM,Công ty cổ phần Vinhomes,HOSE,Bất động sản và Xây dựng,53.5,2025-04-11
VHW,CTCP Nước Khoáng Vĩnh Hảo,UPCOM,Hàng tiêu dùng,0.0,2025-04-11
VIB,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,HOSE,Tài chính,18.65,2025-04-11
VIC,Tập đoàn Vingroup - Công ty Cổ phần,HOSE,Bất động sản và Xây dựng,65.1,2025-04-11
VID,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,HOSE,Nguyên vật liệu,5.2,2025-04-11
VIE,Công ty Cổ phần Công nghệ Viễn thông VITECO ,HOSE,Công nghệ,5.2,2025-04-11
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP,HNX,Nguyên vật liệu,16.8,2025-04-11
