,0
HMC,0
HMG,0
HMH,1
HMR,1
HMS,2
HNA,1
HNB,1
HND,0
HNF,0
HNG,2
HNI,0
HNP,0
HNR,1
HOM,0
HPD,1
HPG,0
HPH,1
HPI,2
HPP,0
HPT,0
HPW,1
HPX,2
HQC,1
HRB,1
HRC,1
HRT,0
HSA,1
HSG,0
HSL,1
HSM,2
HSP,0
HSV,0
HT1,0
HTC,0
HTE,1
HTI,2
HTL,0
HTM,1
HTN,2
HTP,1
HTV,1
HU4,2
HU6,1
HUB,1
HUG,0
HUT,2
HVH,1
HVT,0
HVX,2
HWS,1
IBD,1
ICC,1
ICG,1
ICI,2
ICN,2
ICT,0
IDI,0
IDJ,2
IDP,0
IDV,1
IHK,0
IJC,1
ILA,1
ILB,2
ILS,2
IME,0
IMP,1
IN4,1
INC,1
ING,2
INN,0
IRC,1
ISG,2
ISH,1
IST,2
ITA,1
ITC,2
ITQ,0
ITS,2
IVS,1
JOS,2
JVC,1
KAL,2
KCB,1
KCE,0
KDC,0
KDH,1
KDM,1
KGM,0
KHD,1
KHS,0
KHW,1
KIP,0
KKC,0
KMR,1
KPF,1
KSB,1
KSD,1
KSF,1
KSQ,1
KST,0
KTC,0
KTL,0
KTS,2
KTT,0
L10,0
L12,2
L14,1
L18,2
L40,0
L43,2
L45,2
L61,2
L62,2
L63,2
LAI,2
LAS,0
LAW,2
LBE,0
LBM,0
LCC,2
LCD,2
LCG,2
LCS,2
LDG,2
LDP,0
LDW,1
LEC,2
LG9,2
LGC,2
LGL,2
LGM,2
LHC,0
LHG,1
LIC,2
LIG,2
LIX,0
LKW,1
LLM,2
LM3,2
LM8,0
LMC,1
LMI,0
LNC,2
LPT,0
LQN,2
LSG,2
LSS,0
LTG,0
LUT,2
M10,0
MA1,1
MAC,1
MBG,1
MBN,1
MBS,2
MCC,1
MCF,0
MCH,1
MCM,1
MCO,2
MCP,0
MDA,0
MDC,0
MDF,0
MDG,2
MED,2
MEF,0
MEL,0
MES,1
MFS,0
MGC,0
MGG,0
MGR,1
MH3,1
MHC,1
MIE,1
MKP,1
MKV,0
MLC,0
MLG,2
MML,0
MNB,0
MND,0
MPY,0
MQB,1
MQN,0
MRF,0
MSH,0
MSN,2
MSR,2
MST,2
MTA,1
MTB,0
MTC,1
MTH,1
MTL,1
MTP,0
MTS,0
MTV,1
MVB,0
MVC,1
MVN,1
MWG,0
NAC,0
NAF,0
NAG,0
NAS,0
NAU,1
NAV,1
NAW,2
NBB,2
NBC,2
NBE,0
NBP,0
NBT,1
NCG,0
NCS,2
NCT,1
ND2,2
NDC,0
NDN,1
NDP,1
NDT,0
NDW,1
NDX,1
NED,2
NET,0
NFC,0
NGC,2
NHV,1
NJC,0
NKG,0
NLS,0
NNC,1
NNG,0
NNT,1
NO1,0
NOS,2
NQB,1
NQN,2
NQT,1
NRC,1
NS2,2
NSG,2
NSH,0
NSL,1
NSS,1
NST,0
NTC,2
NTF,0
NTH,1
NTL,1
NTP,0
NTT,2
NTW,1
NUE,0
NVL,2
NVP,1
NVT,2
NWT,0
NXT,1
OCH,1
ODE,1
OGC,2
ONE,0
